 Elapse(min.),Actual feeding rate [g/min],Total N2 flow rate [g/min],O2 flow rate [g/min],Steam flow rate [g/min],CO2 flow rate [g/min],FNC-1,FNC-2,FNC-3,TI-2,TI-3,TI-4,TI-5,PI-2,PI-3,PI-4,PI-5,CO,CO2,CH4,H2
208.92,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.1,766,786,801,785,299.38,64.38,63.75,80.62,3.57,6.14,6.16,6.1
208.93,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.1,766,786,801,785,301.25,72.5,76.88,80.62,3.63,6.12,6.24,6.1
208.95,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.3,800.1,766,787,801,785,305.62,82.5,95.0,99.38,3.66,6.11,6.32,6.21
208.97,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.2,800.1,766,787,801,785,310.0,91.88,97.5,104.38,3.67,6.09,6.37,6.3
208.98,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.4,799.2,800.1,766,787,801,785,315.0,97.5,90.0,98.12,3.67,6.09,6.4,6.35
209.0,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.2,800.1,766,787,801,785,318.12,96.25,80.62,88.75,3.7,6.09,6.39,6.38
209.02,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.2,800.1,766,787,801,785,318.12,96.25,80.62,80.62,3.7,6.09,6.39,6.36
209.03,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.1,766,787,801,785,319.38,91.88,73.12,80.62,3.67,6.09,6.36,6.36
209.05,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.1,766,787,801,785,320.0,83.12,61.25,70.62,3.66,6.09,6.32,6.3
209.07,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,787,801,785,320.0,74.38,53.75,60.62,3.64,6.11,6.28,6.24
209.08,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,319.38,66.88,46.25,54.38,3.64,6.11,6.26,6.21
209.1,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,318.75,58.12,39.38,46.25,3.64,6.12,6.26,6.19
209.12,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,318.75,58.12,39.38,40.0,3.64,6.12,6.26,6.19
209.13,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,316.25,51.25,32.5,40.0,3.66,6.12,6.3,6.21
209.15,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,313.75,42.5,27.5,35.0,3.7,6.11,6.37,6.28
209.17,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,310.0,38.12,22.5,30.0,3.72,6.11,6.47,6.34
209.18,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,786,801,785,308.75,35.0,20.0,26.88,3.72,6.11,6.47,6.38
209.2,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,787,801,785,308.75,35.0,20.0,28.75,3.73,6.11,6.55,6.36
209.22,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,787,801,785,305.62,33.75,23.12,28.75,3.72,6.11,6.58,6.36
209.23,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,787,801,785,303.75,39.38,30.62,36.88,3.67,6.11,6.56,6.31
209.25,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.1,800.2,765,787,801,785,303.12,42.5,31.88,35.62,3.63,6.12,6.49,6.21
209.27,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.2,800.2,766,787,801,785,302.5,45.0,36.25,41.25,3.57,6.14,6.39,6.06
209.28,4.588666666666669,15.178571428571429,2.7142857142857144,6.592968749999997,0,800.5,799.2,800.2,766,787,802,785,301.25,48.75,39.38,45.0,3.51,6.18,6.28,5.91
